Regime,Days,Ann Mean,Ann Vol,Sharpe,Hit Rate,Max DD (within)
1,614,0.13169298934714282,0.05986684803517367,2.19976487270165,0.6074918566775245,-0.03889823615756077
2,78,0.06854221532887189,0.05535320559993387,1.2382700258456898,0.5256410256410257,-0.01485616773851365
3,9,0.44368246998175603,0.15160427217473163,2.926582896492452,0.4444444444444444,-0.024519500772927194
