,K,dominant_g,p_template_0,p_template_1,p_template_2,p_template_3,p_template_4,p_template_5
2023-08-03,6,1,0.0,1.0,2.1222964727450688e-36,7.26337798452165e-24,0.0,0.0
2023-08-04,6,1,0.0,0.9999321690595497,6.783094045034326e-05,3.5442435525457514e-19,0.0,0.0
2023-08-07,6,1,0.0,1.0,5.366201920287588e-27,5.836750565156682e-53,0.0,0.0
2023-08-08,6,1,0.0,1.0,1.0648645762543723e-21,4.413067180582351e-34,0.0,0.0
2023-08-09,6,1,0.0,0.9999999999999988,1.6631638120971674e-29,1.2463231445403472e-15,0.0,0.0
2023-08-10,5,1,0.0,0.999999999943093,5.690701721716461e-11,2.9251086616586717e-41,0.0,0.0
2023-08-11,5,1,2.8695664547738346e-304,0.9999999999971438,2.85606149273038e-12,2.725124832775019e-32,0.0,0.0
2023-08-14,5,1,0.0,0.8615357677497439,0.13846423225025598,4.596133623696e-25,0.0,0.0
2023-08-15,5,1,0.0,0.9999999992318409,2.55087845420651e-77,7.681591578711098e-10,0.0,0.0
2023-08-16,5,1,0.0,1.0,0.0,2.6370884730132574e-20,0.0,0.0
2023-08-17,6,2,0.0,4.82657511359612e-09,0.9999999951734249,1.969098502399705e-60,0.0,0.0
2023-08-18,6,1,0.0,1.0,6.556985146646351e-20,1.1259793264059973e-41,0.0,0.0
2023-08-21,6,2,0.0,1.535929938494362e-06,0.9999984640621111,7.950261672975917e-12,0.0,0.0
2023-08-22,6,2,0.0,2.74733590609373e-06,0.9999972526640939,1.3760555937511016e-20,0.0,0.0
2023-08-23,6,2,0.0,1.9059495844372872e-06,0.9999980940504155,4.753254806738705e-37,0.0,0.0
2023-08-24,6,1,0.0,1.0,5.783489219375586e-31,1.0738183987660547e-26,0.0,0.0
2023-08-25,6,2,0.0,3.7564349687487833e-07,0.9999996243565031,6.3623029938711284e-27,0.0,0.0
2023-08-28,6,1,0.0,1.0,0.0,3.118321629803025e-44,0.0,0.0
2023-08-29,6,1,0.0,0.9999999999992789,2.3954595734164982e-18,7.211395424350162e-13,0.0,0.0
2023-08-30,6,1,0.0,1.0,0.0,7.393881333324025e-63,0.0,0.0
2023-08-31,6,1,0.0,1.0,1.1712133987601202e-70,9.684956530171771e-38,0.0,0.0
2023-09-01,6,2,0.0,0.003418351362291255,0.9965816486376763,3.2498979271395466e-14,0.0,0.0
2023-09-05,6,1,0.0,1.0,0.0,2.309152097211711e-17,0.0,0.0
2023-09-06,6,1,0.0,0.9999999999957613,0.0,4.238725523571246e-12,0.0,0.0
2023-09-07,6,2,0.0,9.107137618398209e-07,0.9999990892862382,6.739317042060123e-21,0.0,0.0
2023-09-08,4,1,0.0,0.999994376715015,5.623284984845692e-06,1.0423101201318573e-36,0.0,0.0
2023-09-11,4,1,0.0,1.0,0.0,3.360506423905155e-39,0.0,2.020255368512346e-96
2023-09-12,4,2,0.0,3.2644659319776053e-07,0.9999996735534068,6.775033746350495e-42,0.0,0.0
2023-09-13,4,1,0.0,0.9999997109596608,2.8904033916708457e-07,3.293240133443645e-82,0.0,0.0
2023-09-14,4,1,0.0,0.9999999973297815,2.6702184329411393e-09,1.138222463426768e-39,0.0,0.0
2023-09-15,5,1,0.0,0.9999999961872618,3.178695176720876e-14,3.812706389997295e-09,0.0,0.0
2023-09-18,5,1,0.0,1.0,0.0,2.0454273692925386e-19,0.0,0.0
2023-09-19,5,1,0.0,0.999999999995536,4.464013686864603e-12,1.1582799461563973e-52,0.0,0.0
2023-09-20,5,1,0.0,1.0,0.0,3.727816164413587e-21,0.0,0.0
2023-09-21,5,1,0.0,0.9997766089809245,0.00022339101907557115,0.0,0.0,0.0
2023-09-22,6,1,0.0,1.0,0.0,4.8610059154585286e-55,0.0,0.0
2023-09-25,6,1,0.0,1.0,5.839601250305852e-29,4.994313328571199e-17,0.0,3.1027221130856314e-124
2023-09-26,6,1,0.0,0.9999999999999993,9.664560403796938e-29,6.39887177912763e-16,0.0,1.2789678686412235e-125
2023-09-27,6,1,0.0,1.0,0.0,9.131516570873059e-30,0.0,0.0
2023-09-28,6,1,0.0,1.0,0.0,3.82148019864524e-17,0.0,0.0
2023-09-29,4,1,0.0,0.9999999915723076,8.427692461238982e-09,7.605523708937344e-39,0.0,0.0
2023-10-02,4,1,0.0,0.9999999999290514,1.6331279409246967e-53,7.094861738801459e-11,0.0,0.0
2023-10-03,4,1,0.0,1.0,0.0,4.030412592407049e-74,0.0,0.0
2023-10-04,4,1,0.0,0.9999999999998215,0.0,1.7842310854013877e-13,0.0,0.0
2023-10-05,4,1,0.0,0.9999999996022362,3.9776387410991925e-10,4.695171142095981e-22,0.0,0.0
2023-10-06,3,1,0.0,0.9999999999999989,0.0,1.0020435676682111e-15,0.0,0.0
2023-10-09,3,1,0.0,0.9999999999999996,0.0,5.44027545525411e-16,0.0,0.0
2023-10-10,3,1,0.0,0.9999999998550286,0.0,1.449714552333677e-10,0.0,0.0
2023-10-11,3,2,0.0,1.0744072378144323e-06,0.9999989255927623,0.0,0.0,0.0
2023-10-12,3,2,0.0,6.12592177356014e-08,0.9999999387407822,0.0,0.0,0.0
2023-10-13,6,2,0.0,2.960208449778508e-05,0.9999703979155022,2.8464993602898816e-31,0.0,0.0
2023-10-16,6,1,0.0,0.9999999999813407,0.0,1.8659339698897662e-11,0.0,0.0
2023-10-17,6,1,0.0,0.9999987546036244,1.2453963755874938e-06,0.0,0.0,0.0
2023-10-18,6,1,0.0,0.9999999999857665,0.0,1.4233605312859428e-11,0.0,0.0
2023-10-19,6,1,0.0,0.9999999999999991,1.7069548090191915e-30,8.520423586369242e-16,0.0,0.0
2023-10-20,4,1,0.0,1.0,8.017926860298507e-28,4.7090116061012966e-91,0.0,0.0
2023-10-23,4,1,0.0,0.999945682447548,5.431755245198563e-05,0.0,0.0,4.8506382110745593e-222
