,ret
2011-03-01,0.006638511988167207
2011-03-02,0.003305250864622788
2011-03-03,-0.001212790103432493
2011-03-04,0.0060816569415217195
2011-03-07,-0.0005796314809820124
2011-03-08,0.0016992226265297283
2011-03-09,-0.0013353340044485406
2011-03-10,-0.006978198941304827
2011-03-11,-0.002836438083183523
2011-03-14,-9.63969890729112e-05
2011-03-15,-0.013384563143682814
2011-03-16,-0.0011105632448195734
2011-03-17,0.006859330792655795
2011-03-18,0.0031373264325791797
2011-03-21,0.003846954874036346
2011-03-22,0.003139764311505467
2011-03-23,0.0042854415574289815
2011-03-24,-0.0009936323589129438
2011-03-25,0.002490101427686753
2011-03-28,-0.005439286271128818
2011-03-29,0.0024935961264767495
2011-03-30,0.001384800814413989
2011-03-31,0.005304986381277388
2011-04-01,0.00264430701393783
2011-04-04,0.0018227165656831803
2011-04-05,0.0020379869640014376
2011-04-06,0.0006455584014764424
2011-04-07,0.0029101664082751277
2011-04-08,0.004164342945414746
2011-04-11,-0.0083614343845003
2011-04-12,-0.00888931138560638
2011-04-13,0.002905869641917303
2011-04-14,0.00435469599960916
2011-04-15,0.005517861772057131
2011-04-18,-0.002682643609795221
2011-04-19,0.0006651142759490193
2011-04-20,0.007071836369491447
2011-04-21,0.0023036919960948586
2011-04-25,-0.00038095159989932627
2011-04-26,0.0010841952634942588
2011-04-27,0.006034103721170148
2011-04-28,0.0005300618694593417
2011-04-29,0.0053412092190162856
2011-05-02,-0.0035780158528837982
2011-05-03,-0.005190137781091408
2011-05-04,-0.007695043539893565
2011-05-05,-0.023382192038550718
2011-05-06,0.0025942135074692456
2011-05-09,0.013595522365260048
2011-05-10,0.0028862980651974015
2011-05-11,-0.01035043525799626
2011-05-12,-8.939380924299889e-06
2011-05-13,-0.00034029784283751136
2011-05-16,-0.0066183863120720336
2011-05-17,-0.0006518954593683901
2011-05-18,0.007422597130244935
2011-05-19,-0.0026297349455111528
2011-05-20,0.004530026694542589
2011-05-23,-0.00554823838712295
2011-05-24,0.004549491027427078
2011-05-25,0.0037133391742809607
2011-05-26,-0.0016273834209358463
2011-05-27,0.0018215400266083038
2011-05-31,0.005051803616726591
2011-06-01,-0.007751444390809148
2011-06-02,-0.002066042313719674
2011-06-03,-0.0023892713368822704
2011-06-06,-0.004532626657879746
2011-06-07,-0.0006759771048723274
2011-06-08,0.0035198803040754176
2011-06-09,0.004333500784384281
2011-06-10,-0.00810718715022727
2011-06-13,-0.00730441067387
2011-06-14,0.007256087017784108
2011-06-15,-0.0072376374158709565
2011-06-16,-0.0005765055895310845
2011-06-17,-0.003488553751547929
2011-06-20,0.001370828123053336
2011-06-21,0.002950372887374542
2011-06-22,0.0013933837387017256
2011-06-23,-0.008404598054490897
2011-06-24,-0.005254590152265415
2011-06-27,-0.0011835242653468472
2011-06-28,0.006075857095533533
2011-06-29,0.0055715881816269085
2011-06-30,-0.0006307680385206461
2011-07-01,0.0008538507548176532
2011-07-05,0.00936351357385723
2011-07-06,0.0029270087075061292
2011-07-07,0.005214987237711988
2011-07-08,-0.002697245813094362
2011-07-11,-0.0013599501670694463
2011-07-12,0.004163824275550709
2011-07-13,0.002915766275482757
2011-07-14,-0.005585024560765995
2011-07-15,0.004981602996166945
2011-07-18,-0.0025735228952446397
2011-07-19,0.004208212569822667
2011-07-20,0.0011615976768197809
2011-07-21,0.0006830307852556672
2011-07-22,0.0033030510464046262
2011-07-25,-0.0016159750384531436
2011-07-26,-0.000778735776843753
2011-07-27,-0.008062562001403963
2011-07-28,3.6122407494332295e-05
2011-07-29,-0.0025059577293650827
2011-08-01,-0.0012280642313371004
2011-08-02,-0.0036297479209846267
2011-08-03,-0.002689922910135412
2011-08-04,-0.01872490505726239
2011-08-05,-0.0006335765523989956
2011-08-08,-0.02147843142520047
2011-08-09,0.01103634382702632
2011-08-10,0.0022560364865271687
2011-08-11,0.010902452991772994
2011-08-12,0.000886282479683409
2011-08-15,0.01042878591817784
2011-08-16,-0.0010395249834558309
2011-08-17,0.0016206417332269576
2011-08-18,-0.01757496749067693
2011-08-19,0.0013232797804133337
2011-08-22,0.009078137636408369
2011-08-23,0.0017379566227945457
2011-08-24,-0.006895208468404857
2011-08-25,-0.0019396596844323708
2011-08-26,0.008950744934498813
2011-08-29,0.0007979732942516212
2011-08-30,0.008578426420772623
2011-08-31,0.0002965883966858486
2011-09-01,0.0004114218104453112
2011-09-02,0.0025062117116847896
2011-09-06,0.0048630720730683304
2011-09-07,-0.003609914425345548
2011-09-08,0.007322881935334635
2011-09-09,-0.0014890967196395277
2011-09-12,-0.0034382937407437795
2011-09-13,0.0027250210088284993
2011-09-14,0.00019079570590996205
2011-09-15,-0.002750988142312316
2011-09-16,0.004807006318697126
2011-09-19,-0.002477584091843178
2011-09-20,0.0029966995438465817
2011-09-21,-0.005062743107417768
2011-09-22,-0.007139182843029884
2011-09-23,-0.012163942036189469
2011-09-26,0.0010877414743553982
2011-09-27,0.003434056057768589
2011-09-28,-0.008408967139610016
2011-09-29,0.002482663355656458
2011-09-30,0.0002859447299988069
2011-10-03,0.0022474731168518488
2011-10-04,-0.002050905314102103
2011-10-05,0.004040241565020788
2011-10-06,0.0020316657365059515
2011-10-07,-0.002306402942035035
2011-10-10,0.004914253129396153
2011-10-11,-0.0011265279967689783
2011-10-12,0.00022278334919239033
2011-10-13,-0.0016512207831691948
2011-10-14,0.0025673177767762596
2011-10-17,-0.0014460138861334584
2011-10-18,0.0021393297225438712
2011-10-19,-0.004169203950069013
2011-10-20,-0.0026163862640915525
2011-10-21,0.0023809962102447468
2011-10-24,0.003068332560837386
2011-10-25,0.0030649738325353236
2011-10-26,0.003648444576825759
2011-10-27,0.001881044464769312
2011-10-28,0.001011936507317834
2011-10-31,0.0010369590118695972
2011-11-01,-0.00040834892168000294
2011-11-02,0.004314834847060213
2011-11-03,0.004455882098978493
2011-11-04,-0.0011870190890697072
2011-11-07,0.005811247818178168
2011-11-08,-0.001235336662984387
2011-11-09,-0.0018869889949654016
2011-11-10,-0.0006847305729305463
2011-11-11,0.002724825398511222
2011-11-14,0.00014097961246566326
2011-11-15,0.0032895659265104638
2011-11-16,-0.004144273038377477
2011-11-17,-0.007975929598069878
2011-11-18,-0.0007171069218724575
2011-11-21,-0.0081280272879944
2011-11-22,0.0013792170129732998
2011-11-23,-0.0003500344483265759
2011-11-25,-6.808035345517963e-05
2011-11-28,0.007998920968283231
2011-11-29,-0.0004956325381886717
2011-11-30,0.007980915996772886
2011-12-01,-0.000732064676523159
2011-12-02,0.0018294731912597234
2011-12-05,-0.000579785881816264
2011-12-06,0.0005436645633942305
2011-12-07,0.002011663747819625
2011-12-08,-0.006145155954727777
2011-12-09,0.002492145809887171
2011-12-12,-0.004120782557174253
2011-12-13,-0.0019756144147567755
2011-12-14,-0.00790773094452
2011-12-15,-0.0014938134446774505
2011-12-16,0.003498602291040775
2011-12-19,-0.0009940421250369982
2011-12-20,0.005014677180716378
2011-12-21,0.00010627361105370995
2011-12-22,0.0006434144500486738
2011-12-23,0.0020677077697104813
2011-12-27,-0.0021748285490522427
2011-12-28,-0.003627469547771336
2011-12-29,0.000901820139061904
2011-12-30,0.00023211658699988616
2012-01-03,0.004471817364900946
2012-01-04,0.003200062936016224
2012-01-05,0.006428491122193413
2012-01-06,0.0003217171829808407
2012-01-09,-0.0019820742240169056
2012-01-10,0.004034827739760161
2012-01-11,0.003874973628383138
2012-01-12,-0.0014459747970636998
2012-01-13,0.0011911463524423736
2012-01-17,0.0009710500107521735
2012-01-18,-0.0002327406720993965
2012-01-19,-0.0018864945032529337
2012-01-20,0.0016450843376192726
2012-01-23,-0.0016704833677966481
2012-01-24,-0.0009398170478526431
2012-01-25,0.005528457446229496
2012-01-26,2.8263660701810523e-05
2012-01-27,-0.0006424173696359507
2012-01-30,0.00023106209992995686
2012-01-31,0.002689278565981823
2012-02-01,-0.00012593226483659326
2012-02-02,0.0023026014749465413
2012-02-03,-0.0013336648054504954
2012-02-06,-0.0003570014050279019
